Escolaridad,Nivel Escolar,Ocupación,Ingreso,Cuenta de Nómina,Tarjeta de Débito,Tarjeta Dummy,Uso de Tarjeta,Bancos,BancoDummy,Tamaño de localidad,Región,RegionDummy,Genero,GeneroDummy,Edad
2,Primaria,trabajó por lo menos una hora,2000,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,42
6,Preparatoria o bachillerato,"tenía trabajo, pero no trabajó",7200,Sí,Sí,1,3,HSBC,6,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,25
2,Primaria,trabajó por lo menos una hora,7200,Sí,Sí,1,4,HSBC,6,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,46
3,Secundaria.,trabajó por lo menos una hora,5200,Sí,Sí,1,4,Santander,4,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,29
6,Preparatoria o bachillerato,trabajó por lo menos una hora,1000,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,18
6,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,600,Sí,Sí,1,0,HSBC,6,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,29
6,Preparatoria o bachillerato,trabajó por lo menos una hora,14000,Sí,Sí,1,0,HSBC,6,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,30
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,31
2,Primaria,No trabajó,0,No,Sí,1,0,BBVA,2,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,74
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,BBVA,2,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,71
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,25
2,Primaria,trabajó por lo menos una hora,12000,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,49
3,Secundaria.,trabajó por lo menos una hora,7600,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,47
2,Primaria,trabajó por lo menos una hora,7600,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,40
3,Secundaria.,trabajó por lo menos una hora,8000,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,27
3,Secundaria.,trabajó por lo menos una hora,12000,Sí,Sí,1,0,HSBC,6,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,28
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,41
3,Secundaria.,trabajó por lo menos una hora,8000,No,Sí,1,1,BBVA,2,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,48
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,10000,Sí,Sí,1,0,BBVA,2,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Mujer,2,31
3,Secundaria.,trabajó por lo menos una hora,7200,No,Sí,1,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,20
0,Ninguno,trabajó por lo menos una hora,4000,No,Sí,1,1,BBVA,2,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,53
2,Primaria,trabajó por lo menos una hora,5200,No,,,0,0,0,menor de 2 500 habitantes,"Occidente y Bajío (Aguascalientes, Guanajuato, Jalisco, Michoacán, Nayarit, Querétaro, Zacatecas, Colima)",1,Hombre,1,27
7,Estudios técnicos con preparatoria terminada.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,54
6,Preparatoria o bachillerato,Es estudiante,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,18
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,15000,Sí,Sí,1,10,No sabe,5,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,42
9,Maestría o doctorado,Es jubilada(o) o pensionada(o),0,Sí,Sí,1,5,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,72
2,Primaria,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,21
6,Preparatoria o bachillerato,trabajó por lo menos una hora,4800,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,30
3,Secundaria.,trabajó por lo menos una hora,5800,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,54
3,Secundaria.,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,30
6,Preparatoria o bachillerato,trabajó por lo menos una hora,10000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,25
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,18000,Sí,Sí,1,3,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,32
4,Estudios técnicos con secundaria terminada,Es jubilada(o) o pensionada(o),0,No,Sí,1,7,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,70
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,72
3,Secundaria.,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,57
2,Primaria,trabajó por lo menos una hora,2000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,36
6,Preparatoria o bachillerato,No trabajó,0,Sí,No,0,0,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,27
0,Ninguno,No trabajó,0,No,Sí,1,2,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,71
6,Preparatoria o bachillerato,trabajó por lo menos una hora,0,Sí,Sí,1,5,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,18
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,Sí,Sí,1,5,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,51
3,Secundaria.,trabajó por lo menos una hora,2400,Sí,Sí,1,2,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,23
3,Secundaria.,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,47
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6400,Sí,Sí,1,1,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,28
2,Primaria,Es jubilada(o) o pensionada(o),0,No,Sí,1,0,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,67
3,Secundaria.,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,44
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,12000,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,45
3,Secundaria.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,57
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,6400,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,19
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,67
3,Secundaria.,trabajó por lo menos una hora,6400,Sí,Sí,1,4,Otros bancos,10,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,37
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,46
7,Estudios técnicos con preparatoria terminada.,trabajó por lo menos una hora,14000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,50
2,Primaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,Sí,1,0,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,61
6,Preparatoria o bachillerato,trabajó por lo menos una hora,5600,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,18
4,Estudios técnicos con secundaria terminada,trabajó por lo menos una hora,9600,Sí,Sí,1,14,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,40
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,Sí,Sí,1,4,Banorte,3,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,24
3,Secundaria.,trabajó por lo menos una hora,8800,Sí,Sí,1,0,HSBC,6,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,31
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6800,Sí,Sí,1,4,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,30
3,Secundaria.,Es jubilada(o) o pensionada(o),0,No,Sí,1,3,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,63
9,Maestría o doctorado,trabajó por lo menos una hora,8000,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,49
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,84
3,Secundaria.,trabajó por lo menos una hora,7200,Sí,Sí,1,15,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,46
3,Secundaria.,No trabajó,0,No,Sí,1,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,76
6,Preparatoria o bachillerato,Es jubilada(o) o pensionada(o),0,No,No,0,0,Banorte,3,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,83
2,Primaria,trabajó por lo menos una hora,7200,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,66
3,Secundaria.,trabajó por lo menos una hora,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,19
3,Secundaria.,No trabajó,0,Sí,No,0,0,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,62
2,Primaria,trabajó por lo menos una hora,7200,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,45
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,7200,Sí,Sí,1,15,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,29
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,1200,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,58
2,Primaria,trabajó por lo menos una hora,6000,Sí,No,0,0,Banorte,3,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,47
6,Preparatoria o bachillerato,trabajó por lo menos una hora,16000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,40
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,66
6,Preparatoria o bachillerato,trabajó por lo menos una hora,5200,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,21
3,Secundaria.,Es jubilada(o) o pensionada(o),0,No,Sí,1,3,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,83
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,Sí,Sí,1,15,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,37
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8400,Sí,Sí,1,3,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,31
6,Preparatoria o bachillerato,trabajó por lo menos una hora,10000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,35
7,Estudios técnicos con preparatoria terminada.,trabajó por lo menos una hora,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,51
3,Secundaria.,trabajó por lo menos una hora,20000,Sí,Sí,1,15,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,34
9,Maestría o doctorado,Es jubilada(o) o pensionada(o),0,No,No,0,0,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,60
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,56
6,Preparatoria o bachillerato,trabajó por lo menos una hora,4800,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,34
3,Secundaria.,trabajó por lo menos una hora,7200,Sí,Sí,1,5,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,30
3,Secundaria.,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,45
6,Preparatoria o bachillerato,trabajó por lo menos una hora,16000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,76
6,Preparatoria o bachillerato,trabajó por lo menos una hora,0,No,Sí,1,8,Otros bancos,10,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,23
9,Maestría o doctorado,trabajó por lo menos una hora,20000,Sí,Sí,1,4,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,58
6,Preparatoria o bachillerato,No trabajó,0,No,Sí,1,3,Banco Azteca,8,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,20
3,Secundaria.,trabajó por lo menos una hora,8800,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,40
2,Primaria,No trabajó,0,No,Sí,1,4,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,69
6,Preparatoria o bachillerato,Está incapacitada(o) permanentemente para trabajar,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,36
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,27
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,10000,Sí,Sí,1,1,Banorte,3,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,29
6,Preparatoria o bachillerato,trabajó por lo menos una hora,8000,Sí,Sí,1,8,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,30
7,Estudios técnicos con preparatoria terminada.,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,47
3,Secundaria.,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,26
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,74
3,Secundaria.,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,53
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6400,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,22
2,Primaria,Es jubilada(o) o pensionada(o),0,No,No,0,0,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,85
9,Maestría o doctorado,trabajó por lo menos una hora,20000,Sí,Sí,1,5,Santander,4,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,42
7,Estudios técnicos con preparatoria terminada.,trabajó por lo menos una hora,6000,Sí,Sí,1,20,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,21
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,24000,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,34
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,85
3,Secundaria.,Es jubilada(o) o pensionada(o),0,No,Sí,1,5,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,64
3,Secundaria.,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,58
2,Primaria,Es jubilada(o) o pensionada(o),0,No,No,0,0,Banorte,3,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,74
3,Secundaria.,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,19
3,Secundaria.,trabajó por lo menos una hora,7200,Sí,Sí,1,8,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,53
6,Preparatoria o bachillerato,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,18
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6400,Sí,Sí,1,10,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,42
6,Preparatoria o bachillerato,trabajó por lo menos una hora,4000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,33
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,44
3,Secundaria.,Es jubilada(o) o pensionada(o),0,No,Sí,1,3,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,69
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,8000,Sí,Sí,1,5,BBVA,2,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,25
6,Preparatoria o bachillerato,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,45
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,Sí,Sí,1,8,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,25
2,Primaria,No trabajó,0,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,63
8,Licenciatura o ingeniería (profesional),trabajó por lo menos una hora,12000,No,Sí,1,2,Otro,7,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,26
9,Maestría o doctorado,trabajó por lo menos una hora,10000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,39
6,Preparatoria o bachillerato,trabajó por lo menos una hora,6000,Sí,Sí,1,8,Citibanamex,1,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Mujer,2,30
3,Secundaria.,trabajó por lo menos una hora,16000,No,,,0,0,0,100 000 y más habitantes,"Noroeste (Baja California, Baja California Sur, Chihuahua, Durango, Sinaloa, Sonora)",2,Hombre,1,29
